method_id,function,protocol,direction,description
0x88316456,"createWrappedNFT, mint, mintPosition, openPosition","CAMELOT, KYBERSWAP, ORCA, PANCAKESWAP, SUSHISWAP, UNISWAP, WORMHOLE",OUTGOING,Creates wrapped NFT version
0x89afcb44,"burn, burnAETH, burnFrax, burnLPToken, burnPosition, closePosition","ANKR, CAMELOT, DYSTOPIA, FRAX, KYBERSWAP, MESH_SWAP, ORCA, PANCAKESWAP, RARIBLE, SOLIDLY, SUSHISWAP, SYNTHETIX, UNISWAP",INCOMING,Burns sUSD for SNX
0x89f9aab7,"claimDistributions, claimMarketsProceeds, completeXConversion, provideQuote","AUGUR, BANCOR, ETH_GENERIC, HASHFLOW",INCOMING,Claims tokens from multiple distributions
0x8a8c523c,"buybackFrax, createVendingMachine, enableTrading","BANCOR, DODO, FRAX",OUTGOING,Buys back FRAX from market
0x8b9e4f93,"anySwapOut, bridge, bridgeAssets, bridgeNFT, bridgeToMonero, bridgeToZcash, bridgeTokens, bridgeTransfer, depositERC20, depositFor, outboundTransfer, sponsor, transferTokens","ALLBRIDGE, ANKR, ARBITRUM, BRIGHTID, MAGICEDEN, MONERO, MULTICHAIN, OPTIMISM, ORBITER, POLYGON, POLYMARKET, PORTAL, SYMBIOSIS, SYNAPSE, WORMHOLE, ZCASH, ZEROEX",OUTGOING,Bridges tokens out
0x8f2c97d9,"claimTradingProceeds, claimWinningsTradingProceeds",AUGUR,INCOMING,Claims proceeds from completed markets
0x8f31c7f9,"claimBalance, mintWithToken, stakeRewards",ETH_GENERIC,INCOMING,Claim available balance
0x8f38249c,"breedAxies, breedHorses, breedPega, breedUnicorns, buyCover, buyLand, buyOption, buyShares, captureIlluvial, participate, placeBet, purchaseLand, purchaseOption, purchasePolicy, spin, summonHero","AXIE, BETSWIRL, BISWAP, BULLPERKS, COINLIST, CRYPTO_UNICORNS, DAOMAKER, DECENTRAL, DEFI_KINGDOMS, DODO, DOPEX, EMBER_SWORD, GAMEFI, GAMESTARTER, ILLUVIUM, INSURACE, JONES, NEXUS_MUTUAL, PEGAXY, PINKSALE, POLKSTARTER, RIBBON, ROLLBIT, SEEDIFY, UNSLASHED, WALLFAIR, ZED_RUN",OUTGOING,Breeds new Axie
0x945bcec9,"batchFillOrders, batchSettlement, batchSwap, batchTrade, bulkExecute, bulkList, bulkListing, bulkOffers, liquidateMultiple, matchOrders, mintBatch, multiSwap, multiZapIn, multibet, setBatch, swapMulti, updatePriceFeeds","ALPACA, BALANCER, BEETHOVEN, BETSWIRL, BLUR, COWSWAP, DIA, GNOSIS, LOOKSRARE, MAGICEDEN, MAVERICK, MIX_SWAP, ONEINCH, OPENSEA, PARASWAP, PLATYPUS, PYTH, RARIBLE, ROOK, VULPEFI, X2Y2, YIELD_YAK, ZAPPER, ZERION, ZEROEX",BOTH,Fills multiple orders
0x94b576de,"buy, buyAsset, buyAxie, buyCard, buyChips, buyCredits, buyHero, buyItem, buyNFT, buyOutcome, buyPega, buyShoe, buyUnicorn, createLimitOrder, createOffer, limitOrder, makeOffer, placeLimitOrder, placeTakeProfitOrder, purchaseCards, purchaseItem, repayWithPermit","AAVE, AXIE, BIGTIME, CRYPTO_UNICORNS, DECENTRAL, DEFI_KINGDOMS, DYDX, EMBER_SWORD, GALA, GODS_UNCHAINED, MAGICEDEN, ONEINCH, OPENSEA, PARASWAP, PEGAXY, POLYMARKET, RARIBLE, ROLLBIT, SORARE, SPLINTERLANDS, STAR_ATLAS, STEPN, THETAN_ARENA, VULPEFI, X2Y2, ZERION",OUTGOING,Creates buy order
0x969b0e0c,"increasePosition, openPosition","DRIFT, DYDX, GAINS, GMX, HUBBLE, KWENTA, LEVEL, LYRA, MYCELIUM, PERPETUAL, POLYNOMIAL, ROLLBIT",OUTGOING,Increases leverage position
0x96cd4ddb,"liquidate, liquidateLoan, liquidatePosition, seizeCollateral, swapNFTs, transferNFT","ALPACA, DYDX, FRAX, GAINS, GEIST, GMX, GRANARY, HUBBLE, HUNDRED, IRONBANK, LEVEL, MAKER, MORPHO, MYCELIUM, PARASWAP, POLYNOMIAL, PORTAL, RADIANT, SYNTHETIX, TRUEFI, VENUS, WORMHOLE",BOTH,Liquidates margin position
0x98f4b1b2,"aggregateValues, getEmaPrice, getPrice","PYTH, REDSTONE, UMBRELLA",NEUTRAL,Aggregates price values
0x9a5c32e7,"claimRewardsAndStake, distributeSupplierVenus","AAVE, VENUS",BOTH,Claims and automatically stakes rewards
0x9a802a6d,"executeAsk, submitVoteBySignature","AAVE, BLUR",BOTH,Executes ask for NFT
0x9b3d47b4,"addLiquidityBinning, boostFarms, boostRewards, call, comment, declareStorage, donate, enterTournament, fileClaim, fillRelay, generateNote, generateProof, generateZkProof, joinCommunity, joinGroup, joinPod, joinPool, joinTable, publishMessage, recast, registerTournament, requestData, requestPrice, requestRandomWords, requestRandomness, send, sendCredits, sendMessage, startMint, submitAssessment, submitBlock, submitCheckpoint, submitClaim, submitProof, submitRelay, submitReport, submitRiskAssessment, submitVAA, subscribe, whitelist","ACROSS, API3, ARBITRUM, ARWEAVE, AZTEC, BAND, BRIGHTID, CELER, CHAINLINK, DECENTRAL, EIGENLAYER, FARCASTER, FILECOIN, FRIEND_TECH, GAMEFI, HOP, INSURACE, IPFS, LAYERZERO, LENS, MAGICEDEN, MAVERICK, MONERO, NEXUS_MUTUAL, OPTIMISM, POCKET, POLKSTARTER, POLYGON, POLYGONID, PORTAL, RAILWAY, SORARE, SPIRITSWAP, STARGATE, TORNADO, UMA, UMBRELLA, UNISWAP, UNSLASHED, WOMBAT, WORLDCOIN, WORMHOLE, ZCASH, ZED_RUN",OUTGOING,Adds liquidity with binning
0x9d2c1b1f,"deploy_metapool, getBribesForEpoch","CURVE, DYSTOPIA",OUTGOING,Deploys new metapool
0x9d2f32dd,"beforeSwap, estimateFees, findBestPath, getBuyPrice, getCachedValues, getPrice, getPrices, getReferenceData, getValue, listPinnedFiles, placeBet, placeBid, quotePotentialSwap, rateCredit, readContract, readDataFeed, requestForQuote, requestQuote, resolveName, retrieveData, showHand, simulateBundle, swapBaseIn, track, validateBlock, validateSchema, verifyAddress, verifyCredential, verifyDocument, verifyIdentity, verifyKYC","API3, ARWEAVE, BAND, CENTRIFUGE, CIVIC, COPPER_LAUNCH, DECENTRAL, DIA, FARCASTER, FLASHBOTS, FRIEND_TECH, GNOSIS, GOLDFINCH, HASHFLOW, IPFS, LAYERZERO, MAGICEDEN, MANIFOLD, OPENSEA, ORCA, POLYGONID, PYTH, RAYDIUM, REDSTONE, ROLLBIT, SORARE, STAR_ATLAS, TELLOR, TRUEFI, UMBRELLA, UNISWAP, WOMBAT, YIELD_YAK, ZERION, ZEROEX",OUTGOING,Hook before swap
0x9dc29fac,"draw, drawdownLoan","MAKER, MAPLE",INCOMING,Draws DAI from vault
0x9e281a98,"withdrawERC20For, withdrawFor","BANCOR, ETH_GENERIC",OUTGOING,Withdraws ERC20 tokens on behalf of another address
0xa694fc3a,"depositStake, pledgeCollateral, stake, stakeACX, stakeAPI3, stakeATLAS, stakeAXS, stakeApp, stakeBETS, stakeBLP, stakeBOO, stakeBTRFLY, stakeBlur, stakeCELR, stakeCFG, stakeCHR, stakeDIA, stakeDPX, stakeDRIFT, stakeDYDX, stakeDYST, stakeEDEN, stakeFxs, stakeGAFI, stakeGALA, stakeGAME, stakeGEIST, stakeGMT, stakeGNS, stakeGODS, stakeGRAIN, stakeHBL, stakeHEGIC, stakeICE, stakeILV, stakeINSUR, stakeJONES, stakeKWENTA, stakeLOOKS, stakeLP, stakeLPTokens, stakeLRC, stakeLVL, stakeLYRA, stakeLand, stakeMYC, stakeMaple, stakeMinipool, stakeMorpho, stakeNFT, stakeNXM, stakeNode, stakePERP, stakePGX, stakePOLIS, stakePOLY, stakePREMIA, stakeQUICK, stakeRAM, stakeRAY, stakeRBN, stakeRBW, stakeRDNT, stakeRLB, stakeROOK, stakeRPL, stakeSPS, stakeSorare, stakeTHG, stakeTRU, stakeTokens, stakeUMB, stakeVELA, stakeWETH, stakeWFAIR, stakeWLD, stakeX2Y2, stakeYAK","AAVE, ACROSS, ALLBRIDGE, ALPACA, ANKR, API3, AXIE, BALANCER, BANCOR, BEEFY, BEETHOVEN, BENQI, BETSWIRL, BINANCE, BLUR, BULLPERKS, CAMELOT, CELER, CENTRIFUGE, CHRONOS, CIVIC, CONVEX, CRYPTO_UNICORNS, CURVE, DAOMAKER, DECENTRAL, DIA, DOPEX, DRIFT, DYDX, DYSTOPIA, EDEN, EMBER_SWORD, FILECOIN, FRAX, GAINS, GALA, GAMEFI, GAMESTARTER, GEIST, GMX, GODS_UNCHAINED, GOLDFINCH, GRANARY, HEGIC, HOP, HUBBLE, HUNDRED, ILLUVIUM, INSURACE, JONES, KWENTA, LEVEL, LIDO, LOOKSRARE, LOOPRING, LYRA, MAGICEDEN, MANTLE, MAPLE, MAVERICK, MESH_SWAP, MIX_SWAP, MORPHO, MULTICHAIN, MYCELIUM, NEXUS_MUTUAL, NFTX, ONEINCH, PEGAXY, PERPETUAL, PICKLE, PLATYPUS, POCKET, POLYGON, POLYNOMIAL, PREMIA, QUICKSWAP, RADIANT, RAMSES, RAYDIUM, REDACTED, RIBBON, ROCKETPOOL, ROLLBIT, ROOK, SEEDIFY, SOLIDLY, SORARE, SPLINTERLANDS, SPOOKYSWAP, STAKESTONE, STAKEWISE, STARGATE, STAR_ATLAS, STEPN, SUSHISWAP, SWELL, SYMBIOSIS, SYNAPSE, SYNTHETIX, TELLOR, THETAN_ARENA, THE_GRAPH, TORNADO, TRADERJOE, TRUEFI, UMBRELLA, VELA, VELODROME, VULPEFI, WALLFAIR, WORLDCOIN, X2Y2, YIELD_YAK, ZAPPER, ZED_RUN, ZEROEX, ZYBERSWAP",OUTGOING,Stakes TRB tokens
0xb1a1a882,"anySwapOutNative, bridgeETH, depositETH, depositEtherFor, depositTransaction","ARBITRUM, MULTICHAIN, OPTIMISM, ORBITER, POLYGON",OUTGOING,Bridges native tokens out
0xbaa2abde,"removeLiquidity, withdrawLiquidity","ACROSS, ALLBRIDGE, BEETHOVEN, BETSWIRL, BISWAP, CAMELOT, CELER, CHRONOS, DRIFT, DYSTOPIA, HASHFLOW, HEGIC, HOP, KYBERSWAP, LEVEL, LOOPRING, LYRA, MAVERICK, MESH_SWAP, MIX_SWAP, MONERO, MULTICHAIN, MYCELIUM, NFTX, ORBITER, PANCAKESWAP, PLATYPUS, POLYMARKET, PREMIA, QUICKSWAP, RAMSES, RAYDIUM, SOLIDLY, SPIRITSWAP, SPOOKYSWAP, STAKEWISE, STARGATE, SUDOSWAP, SUSHISWAP, SYMBIOSIS, SYNAPSE, TRADERJOE, UNISWAP, VELA, VELODROME, VULPEFI, WOMBAT, ZCASH, ZERION, ZYBERSWAP",INCOMING,Removes liquidity from bridge pool
0xbc61394a,"acceptBid, acceptOffer, executeBid, executeOrder, fillLimitOrder, fillOrder, fulfillListing, fulfillOffer, matchOrder, tradeLand","AXIE, BIGTIME, BLUR, CRYPTO_UNICORNS, DYDX, EMBER_SWORD, GODS_UNCHAINED, ILLUVIUM, LOOKSRARE, MAGICEDEN, ONEINCH, OPENSEA, PARASWAP, PEGAXY, RARIBLE, SORARE, STEPN, VELA, X2Y2, ZEROEX",BOTH,Accepts NFT bid
0xc2998238,"enterMarket, enterMarkets","COMPOUND, CREAM, EULER, HUNDRED, IRONBANK, VENUS",OUTGOING,Enters market
0xc5ebeaec,"borrow, borrowNFT","ALPACA, BENQI, BLUR, COMPOUND, CREAM, EULER, FRAX, GEIST, GRANARY, HUNDRED, IRONBANK, MORPHO, RADIANT, VENUS",INCOMING,Borrows assets against collateral
0xd294f093,"claimCoordinatorFees, claimFees, claimFunding, harvestFees","ACROSS, ALLBRIDGE, CELER, DRIFT, FRIEND_TECH, GMX, HEGIC, LEVEL, MONERO, MYCELIUM, ORBITER, POLYMARKET, PREMIA, RAILWAY, ROOK, SYMBIOSIS, VELA, ZCASH",INCOMING,Claims coordinator fees
0xda95691a,"createProposal, propose, proposeBribe, proposePurchase, proposeUpdate, proposeVote, submitProposal","ALPACA, ANKR, API3, BANCOR, BAND, BENQI, BINANCE, BULLPERKS, CENTRIFUGE, COMPOUND, DECENTRAL, DIA, DOPEX, DYDX, FRAX, GNOSIS, GOLDFINCH, GRANARY, HEGIC, ILLUVIUM, INSURACE, LENS, LIDO, LYRA, MAKER, MAPLE, MONERO, NEXUS_MUTUAL, OETH, PIREX, POCKET, PREMIA, PYTH, RADIANT, RAILWAY, REDACTED, STAKESTONE, STAKEWISE, SWELL, TELLOR, TORNADO, TRUEFI, UMA, UMBRELLA, UNSLASHED, WALLFAIR, WORMHOLE, YEARN",OUTGOING,Creates governance proposal
0xdb006a75,"redeem, redeemSCD","AAVE, ARBITRUM, CENTRIFUGE, COMPOUND, CREAM, ERC4626, MAKER, NFTX, OETH, SYNAPSE, TRUEFI, VENUS",BOTH,Redeems retryable ticket
0xe2bbb158,"deposit, farmDeposit","BISWAP, KYBERSWAP, ORCA, PANCAKESWAP, QUICKSWAP, RAYDIUM, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, WOMBAT, ZAPPER",OUTGOING,Stakes LP tokens in farm
0xe6f1daf2,"claimBankrollRewards, claimBeets, claimDelegationRewards, claimHND, claimNodeRewards, claimPoolRewards, claimReward, claimRewards, claimSolverSurplus, claimStaking, claimStakingRewards, claimVenus, claimYield, claim_rewards, withdrawDelegatorRewards","AAVE, ACROSS, ANKR, API3, AXIE, BANCOR, BAND, BEEFY, BEETHOVEN, BETSWIRL, BINANCE, BLUR, BULLPERKS, CELER, CENTRIFUGE, CHRONOS, CIVIC, CONVEX, COWSWAP, CRYPTO_UNICORNS, CURVE, DECENTRAL, DIA, DOPEX, DRIFT, DYDX, DYSTOPIA, EDEN, EIGENLAYER, EMBER_SWORD, FRAX, GAINS, GALA, GAMEFI, GAMESTARTER, GEIST, GODS_UNCHAINED, GOLDFINCH, GRANARY, HEGIC, HOP, HUBBLE, HUNDRED, ILLUVIUM, INSURACE, JONES, KWENTA, LEVEL, LIDO, LOOKSRARE, LOOPRING, LYRA, MAGICEDEN, MANTLE, MAPLE, MAVERICK, MORPHO, MYCELIUM, NEXUS_MUTUAL, NFTX, OETH, PEGAXY, PERPETUAL, PICKLE, PIREX, POLYGON, POLYNOMIAL, PREMIA, PYTH, QUICKSWAP, RADIANT, RAMSES, RAYDIUM, REDACTED, RIBBON, ROCKETPOOL, ROLLBIT, ROOK, SPLINTERLANDS, SPOOKYSWAP, STADER, STAKESTONE, STAKEWISE, STARGATE, STEPN, SWELL, SYMBIOSIS, SYNTHETIX, TELLOR, THETAN_ARENA, THE_GRAPH, TORNADO, TRADERJOE, TRUEFI, UMA, UMBRELLA, VELA, VENUS, WOMBAT, WORLDCOIN, X2Y2, YEARN, YIELD_YAK, ZAPPER, ZED_RUN, ZEROEX",INCOMING,Claims gauge rewards
0xe74b981b,"setFees, setRelayerFees, set_fee_receiver, updateContext, updateSpotPrice","BRIGHTID, CURVE, LAYERZERO, STARGATE, SUDOSWAP",OUTGOING,Sets fee receiver address
0xe8e33700,"addLiquidity, provideLiquidity","ACROSS, ALLBRIDGE, BEETHOVEN, BETSWIRL, BISWAP, CAMELOT, CELER, CHRONOS, DRIFT, DYSTOPIA, HASHFLOW, HEGIC, HOP, KYBERSWAP, LEVEL, LOOPRING, LYRA, MAVERICK, MESH_SWAP, MIX_SWAP, MONERO, MULTICHAIN, MYCELIUM, NFTX, ORBITER, PANCAKESWAP, PLATYPUS, POLYMARKET, PREMIA, QUICKSWAP, RAMSES, RAYDIUM, SOLIDLY, SPIRITSWAP, SPOOKYSWAP, STAKEWISE, STARGATE, SUDOSWAP, SUSHISWAP, SYMBIOSIS, SYNAPSE, TRADERJOE, UNISWAP, VELA, VELODROME, VULPEFI, WOMBAT, ZCASH, ZERION, ZYBERSWAP",OUTGOING,Adds liquidity to bridge pool
0xe8eda9df,"deposit, depositV3",AAVE,OUTGOING,Deposits tokens into the lending pool
0xf305d719,"addLiquidityAVAX, addLiquidityBNB, addLiquidityETH, addLiquidityFTM, addLiquidityMATIC, addLiquidityNative","BISWAP, CAMELOT, CHRONOS, DYSTOPIA, MESH_SWAP, PANCAKESWAP, QUICKSWAP, RAMSES, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, TRADERJOE, UNISWAP, WOMBAT, ZYBERSWAP",OUTGOING,Adds liquidity with AVAX
0xf5e3c462,"liquidate, liquidateBorrow","COMPOUND, CREAM",BOTH,Liquidates position
0xf69e2046,"compound, compoundFarm, compoundReward, compoundRewards, compoundStaking, reinvest, reinvestFees, reinvestRewards","ACROSS, ALLBRIDGE, ALPACA, BEETHOVEN, BETSWIRL, CAMELOT, CHRONOS, CONCENTRATOR, DECENTRAL, DOPEX, FRIEND_TECH, GAINS, GMX, GODS_UNCHAINED, HOP, INSURACE, JONES, KWENTA, KYBERSWAP, LEVEL, LOOKSRARE, LYRA, MAVERICK, MESH_SWAP, MULTICHAIN, MYCELIUM, ORCA, PERPETUAL, PIREX, PLATYPUS, QUICKSWAP, RAMSES, REDACTED, SOLIDLY, SPIRITSWAP, SPOOKYSWAP, STAKESTONE, STAKEWISE, STARGATE, SWELL, SYMBIOSIS, TRADERJOE, UNSLASHED, VULPEFI, WOMBAT, YIELD_YAK, ZAPPER, ZYBERSWAP",OUTGOING,Compounds farming rewards
0xf7f855b9,"mintValue, transferFromValue",ERC3525,OUTGOING,Mints token with value
0xfe0d94c1,"exec, execute, executeProposal, executePurchase, executeUpdate, executeVote","ALPACA, ANKR, API3, BALANCER, BANCOR, BAND, BENQI, BULLPERKS, CENTRIFUGE, DECENTRAL, DIA, DOPEX, DYDX, FRAX, GNOSIS, GOLDFINCH, GRANARY, HEGIC, ILLUVIUM, INSURACE, LENS, LIDO, LYRA, MAKER, MAPLE, MONERO, OETH, PIREX, PREMIA, PYTH, RADIANT, RAILWAY, REDACTED, STAKESTONE, STAKEWISE, SWELL, TELLOR, TORNADO, TRUEFI, UMA, UMBRELLA, UNSLASHED, WALLFAIR, WORMHOLE, YEARN",OUTGOING,Executes proposal
UNKNOWN,"JunionYoutubeXD_dashhvetozhe, LetsInvest",ETH_GENERIC,UNKNOWN,Suspicious function - potential scam
